name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,electrified,railway,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
Thomasville Subdivision,0,9356234,119,121,rail,no,rail,,,,,,,,,main,,1435,,105.64242547208414,"LINESTRING (-82.4163204 31.1636399, -82.41550100000001 31.164281)"
Thomasville Subdivision,1,9356234,121,122,rail,no,rail,,,,,,,,,main,,1435,,11.286706878307907,"LINESTRING (-82.41550100000001 31.164281, -82.415414 31.16435)"
Thomasville Subdivision,2,9356234,122,123,rail,no,rail,,,,,,,,,main,,1435,,35.44772618353203,"LINESTRING (-82.415414 31.16435, -82.41513999999999 31.164566)"
Thomasville Subdivision,3,9356234,123,124,rail,no,rail,,,,,,,,,main,,1435,,83.12884036276692,"LINESTRING (-82.41513999999999 31.164566, -82.41450140000001 31.1650762)"
Thomasville Subdivision,4,9356234,124,190,rail,no,rail,,,,,,,,,main,,1435,,190.66503565837868,"LINESTRING (-82.41450140000001 31.1650762, -82.413038 31.1662476)"
Thomasville Subdivision,5,9356234,190,191,rail,no,rail,,,,,,,,,main,,1435,,151.23294859651526,"LINESTRING (-82.413038 31.1662476, -82.411871 31.167171)"
Thomasville Subdivision,6,9356234,191,192,rail,no,rail,,,,,,,,,main,,1435,,250.69232152395605,"LINESTRING (-82.411871 31.167171, -82.40993899999999 31.168704)"
Thomasville Subdivision,7,9356234,192,2,rail,no,rail,,,,,,,,,main,,1435,,209.91282369803662,"LINESTRING (-82.40993899999999 31.168704, -82.408326 31.169992)"
Thomasville Subdivision,8,9356234,2,193,rail,no,rail,,,,,,,,,main,,1435,,106.67412567292425,"LINESTRING (-82.408326 31.169992, -82.40751899999999 31.170658)"
Thomasville Subdivision,9,9356234,193,194,rail,no,rail,,,,,,,,,main,,1435,,78.64730270371996,"LINESTRING (-82.40751899999999 31.170658, -82.406932 31.171156)"
