name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,90175055,switch,,,,-121.280696,38.7530299,POINT (-121.280696 38.7530299)
,1,90175058,,,,,-121.2819354,38.7525575,POINT (-121.2819354 38.7525575)
,2,90175059,,,,,-121.2824134,38.7525803,POINT (-121.2824134 38.7525803)
,3,90175061,,,,,-121.2829264,38.7527492,POINT (-121.2829264 38.7527492)
,4,90176382,,,,,-121.2968286,38.7435582,POINT (-121.2968286 38.7435582)
,5,90176386,,,,,-121.2899452,38.7485675,POINT (-121.2899452 38.7485675)
Roseville,6,90176387,stop,,,,-121.2881518,38.7490379,POINT (-121.2881518 38.7490379)
,7,90176388,,,,,-121.2854367,38.7500039,POINT (-121.2854367 38.7500039)
,8,90176390,switch,,,,-121.2849466,38.7503147,POINT (-121.2849466 38.7503147)
,9,90176392,switch,,,,-121.2847177,38.7504792,POINT (-121.2847177 38.7504792)
,10,90176394,,,,,-121.2799951,38.7534448,POINT (-121.2799951 38.7534448)
,11,90177062,,,,,-121.2872357,38.7474806,POINT (-121.2872357 38.7474806)
,12,90177063,,,,,-121.2847989,38.7499487,POINT (-121.2847989 38.7499487)
,13,317497455,switch,,,,-121.2882063,38.7464747,POINT (-121.2882063 38.7464747)
,14,317497659,,,,,-121.2862221,38.7485142,POINT (-121.2862221 38.7485142)
,15,317497660,,,,,-121.2852948,38.7494492,POINT (-121.2852948 38.7494492)
,16,317497661,,,,,-121.2837276,38.7508026,POINT (-121.2837276 38.7508026)
,17,317497662,,,,,-121.2823058,38.7518888,POINT (-121.2823058 38.7518888)
,18,317497663,,,,,-121.2819906,38.7520954,POINT (-121.2819906 38.7520954)
,19,317497664,,,,,-121.2815872,38.7523497,POINT (-121.2815872 38.7523497)
,20,317497665,,,,,-121.2811562,38.7526086,POINT (-121.2811562 38.7526086)
,21,317497666,,,,,-121.2809431,38.7527425,POINT (-121.2809431 38.7527425)
,22,317497667,,,,,-121.2806423,38.752947,POINT (-121.2806423 38.752947)
,23,317497668,,,,,-121.2804429,38.7530796,POINT (-121.2804429 38.7530796)
,24,317497669,,,,,-121.2801768,38.7532461,POINT (-121.2801768 38.7532461)
,25,317497670,,,,,-121.2799416,38.7533888,POINT (-121.2799416 38.7533888)
,26,317497671,,,,,-121.2795751,38.7536501,POINT (-121.2795751 38.7536501)
,27,317498193,,,,,-121.2859037,38.7497462,POINT (-121.2859037 38.7497462)
Roseville,28,317498194,stop,,,,-121.2856075,38.749902,POINT (-121.2856075 38.749902)
,29,317498195,,,,,-121.2836815,38.7512118,POINT (-121.2836815 38.7512118)
,30,317498196,,,,,-121.2833811,38.7514211,POINT (-121.2833811 38.7514211)
,31,317498197,,,,,-121.2830561,38.7516298,POINT (-121.2830561 38.7516298)
,32,317498198,,,,,-121.2816871,38.7524408,POINT (-121.2816871 38.7524408)
,33,317498200,switch,,,,-121.2796952,38.7536275,POINT (-121.2796952 38.7536275)
,34,317535074,,,,,-121.2813006,38.7527319,POINT (-121.2813006 38.7527319)
,35,317535075,,,,,-121.2815398,38.752633,POINT (-121.2815398 38.752633)
,36,317535076,,,,,-121.2816558,38.7526004,POINT (-121.2816558 38.7526004)
,37,317535077,,,,,-121.2818024,38.7525718,POINT (-121.2818024 38.7525718)
,38,317535078,,,,,-121.2820674,38.7525518,POINT (-121.2820674 38.7525518)
,39,317535079,,,,,-121.2821886,38.7525545,POINT (-121.2821886 38.7525545)
,40,317535080,,,,,-121.2823088,38.752566,POINT (-121.2823088 38.752566)
