name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,electrified,railway,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
,0,13402737,3,229,rail,no,rail,,,,,,,,,,,1435,yard,32.80199423322802,"LINESTRING (-94.6525572 39.0777293, -94.6527787 39.077969)"
,1,13402737,229,133,rail,no,rail,,,,,,,,,,,1435,yard,61.45386663345094,"LINESTRING (-94.6527787 39.077969, -94.6531545 39.0784384)"
,2,13402737,133,164,rail,no,rail,,,,,,,,,,,1435,yard,9.980353231888587,"LINESTRING (-94.6531545 39.0784384, -94.6532254 39.0785093)"
,3,13402737,164,4,rail,no,rail,,,,,,,,,,,1435,yard,8.629563735290148,"LINESTRING (-94.6532254 39.0785093, -94.6532938 39.0785659)"
,4,13402737,4,161,rail,no,rail,,,,,,,,,,,1435,yard,163.1339808734066,"LINESTRING (-94.6532938 39.0785659, -94.654991 39.0779205)"
,5,13402737,161,173,rail,no,rail,,,,,,,,,,,1435,yard,10.212544977645596,"LINESTRING (-94.654991 39.0779205, -94.6549694 39.0778302)"
,6,13402737,173,108,rail,no,rail,,,,,,,,,,,1435,yard,8.667317898832865,"LINESTRING (-94.6549694 39.0778302, -94.6549416 39.0777553)"
,7,13402737,108,129,rail,no,rail,,,,,,,,,,,1435,yard,10.638881633819913,"LINESTRING (-94.6549416 39.0777553, -94.6548892 39.0776687)"
,8,13402737,129,226,rail,no,rail,,,,,,,,,,,1435,yard,10.317986400825085,"LINESTRING (-94.6548892 39.0776687, -94.6548293 39.0775884)"
,9,13402737,226,221,rail,no,rail,,,,,,,,,,,1435,yard,7.132245235598277,"LINESTRING (-94.6548293 39.0775884, -94.6547822 39.0775357)"
,10,13402737,221,169,rail,no,rail,,,,,,,,,,,1435,yard,14.32494102941817,"LINESTRING (-94.6547822 39.0775357, -94.6546877 39.0774298)"
,11,13402737,169,238,rail,no,rail,,,,,,,,,,,1435,yard,19.076736455418445,"LINESTRING (-94.6546877 39.0774298, -94.6545618 39.0772888)"
