name,poi_id,osm_way_id,railway,geometry
 CP40,0,380529432,,"POLYGON ((-94.6486812 39.0740015, -94.6519152 39.0748024, -94.6511376 39.0745709, -94.6499116 39.074245, -94.6488071 39.074041, -94.6486812 39.0740015))"
 BNSF Argentine Locomotive Facility,1,380702893,,"POLYGON ((-94.6589994 39.077322, -94.6559156 39.0765332, -94.65292890000001 39.0757855, -94.6520763 39.0755694, -94.65165210000001 39.0754562, -94.65127219999999 39.0753259, -94.6504592 39.0749246, -94.6487759 39.0743107, -94.6485064 39.0742112, -94.6484313 39.0742729, -94.649125 39.0746399, -94.64959330000001 39.0749212, -94.64987600000001 39.0751373, -94.6509585 39.075981, -94.65186420000001 39.0769379, -94.65250039999999 39.0777439, -94.65964889999999 39.078639, -94.6607939 39.0786037, -94.6611134 39.0786062, -94.6613959 39.0786523, -94.66268410000001 39.0789511, -94.66288729999999 39.0785293, -94.6606915 39.0779394, -94.6600023 39.077737, -94.6592689 39.0774249, -94.6589994 39.077322))"
