name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,97184455,,,,,-87.2262682,30.449192,POINT (-87.22626820000001 30.449192)
,1,97230893,milestone,,,,-87.2267136,30.4500712,POINT (-87.2267136 30.4500712)
,2,97283544,,,,,-87.2269251,30.4504786,POINT (-87.2269251 30.4504786)
,3,97495169,level_crossing,,,,-87.227003,30.4511441,POINT (-87.227003 30.4511441)
,4,97495207,level_crossing,,,,-87.2280947,30.4543852,POINT (-87.2280947 30.4543852)
,5,97536809,,,,,-87.2351243,30.4662357,POINT (-87.2351243 30.4662357)
,6,97536811,,,,,-87.2346848,30.4653934,POINT (-87.2346848 30.4653934)
,7,97536813,,,,,-87.2331748,30.4624749,POINT (-87.2331748 30.4624749)
,8,97536814,,,,,-87.2325996,30.4613889,POINT (-87.2325996 30.4613889)
,9,97536815,,,,,-87.2317499,30.4597522,POINT (-87.2317499 30.4597522)
,10,97536931,,,,,-87.22662,30.4498899,POINT (-87.22662 30.4498899)
,11,97536932,,,,,-87.2270603,30.4507326,POINT (-87.22706030000001 30.4507326)
,12,97536933,,,,,-87.2271897,30.4509806,POINT (-87.2271897 30.4509806)
,13,97536950,,,,,-87.2353547,30.4666892,POINT (-87.2353547 30.4666892)
,14,97536951,,,,,-87.2355431,30.4670439,POINT (-87.2355431 30.4670439)
,15,97537334,switch,,,,-87.2316184,30.4600337,POINT (-87.2316184 30.4600337)
,16,97537336,,,,,-87.2303974,30.4576723,POINT (-87.2303974 30.4576723)
,17,97537338,switch,,,,-87.2273759,30.4518593,POINT (-87.2273759 30.4518593)
,18,97537343,switch,,,,-87.2310014,30.459193,POINT (-87.2310014 30.459193)
,19,97537344,,,,,-87.2302666,30.4577612,POINT (-87.23026659999999 30.4577612)
,20,97537346,switch,,,,-87.2276878,30.4528031,POINT (-87.2276878 30.4528031)
,21,97537349,switch,,,,-87.230379,30.4583429,POINT (-87.230379 30.4583429)
,22,97537351,,,,,-87.2300404,30.4577909,POINT (-87.23004039999999 30.4577909)
,23,97537352,switch,,,,-87.2278268,30.4533459,POINT (-87.2278268 30.4533459)
,24,97537358,,,,,-87.227003,30.4512748,POINT (-87.227003 30.4512748)
,25,97537362,switch,,,,-87.226995,30.451743,POINT (-87.226995 30.451743)
,26,1711881499,buffer_stop,,,,-87.2264669,30.4565036,POINT (-87.22646690000001 30.4565036)
,27,1711881520,,,,,-87.228018,30.4558222,POINT (-87.22801800000001 30.4558222)
,28,1711881535,,,,,-87.2280414,30.4552412,POINT (-87.2280414 30.4552412)
,29,1711881599,,,,,-87.2280343,30.45415,POINT (-87.2280343 30.45415)
,30,1711881607,,,,,-87.2277312,30.4559832,POINT (-87.22773119999999 30.4559832)
,31,1711881627,,,,,-87.2274915,30.456166,POINT (-87.2274915 30.456166)
,32,1711881634,switch,,,,-87.2275542,30.4541153,POINT (-87.2275542 30.4541153)
,33,1711881643,,,,,-87.2282272,30.4552654,POINT (-87.22822720000001 30.4552654)
,34,1711881664,switch,,,,-87.2281899,30.454861,POINT (-87.2281899 30.454861)
,35,1711881698,,,,,-87.2266905,30.4564405,POINT (-87.2266905 30.4564405)
,36,1711881748,,,,,-87.2279569,30.4556537,POINT (-87.2279569 30.4556537)
