name,poi_id,osm_way_id,railway,geometry
 UP Armstrong Yard,0,100545337,,"POLYGON ((-94.6375139 39.0918705, -94.6350808 39.0915314, -94.635102 39.0914303, -94.6332913 39.0911201, -94.63051539999999 39.0906529, -94.63019509999999 39.0906015, -94.6297739 39.0905355, -94.6294091 39.0904871, -94.6289307 39.0904373, -94.6284574 39.0904003, -94.6280112 39.0903851, -94.627551 39.0903795, -94.6252621 39.0904177, -94.62457209999999 39.090436, -94.6240277 39.090451, -94.6235734 39.0904876, -94.62304829999999 39.0905691, -94.62236679999999 39.0907155, -94.6213187 39.0910303, -94.6204472 39.0913902, -94.6200235 39.0915652, -94.6172844 39.0927292, -94.6168868 39.0929644, -94.6165992 39.0932266, -94.6158136 39.0939981, -94.61563990000001 39.0942378, -94.6153059 39.0948356, -94.6142423 39.0967486, -94.6141331 39.0968845, -94.6140233 39.0969988, -94.6139482 39.0970687, -94.6139907 39.0971093, -94.61436930000001 39.0969367, -94.6153781 39.0963615, -94.61594940000001 39.0960909, -94.61604869999999 39.0962095, -94.6191085 39.0948873, -94.6216608 39.0938068, -94.6253274 39.0922746, -94.6263762 39.0918508, -94.6269988 39.0916399, -94.6276795 39.0914635, -94.6282812 39.0913436, -94.6289903 39.0912362, -94.6295734 39.0911835, -94.6301182 39.0911643, -94.6305876 39.0911701, -94.6312152 39.091195, -94.6319317 39.0912516, -94.6326198 39.0913187, -94.6333351 39.0914059, -94.6350276 39.0916235, -94.63573150000001 39.091714, -94.637497 39.0919442, -94.6375139 39.0918705))"
 Armourdale Yard,1,100547288,,"POLYGON ((-94.6417945 39.0924502, -94.641972 39.0924742, -94.6457111 39.0929678, -94.6483313 39.0933188, -94.65212889999999 39.0938183, -94.6553878 39.0942325, -94.6596622 39.0948145, -94.6630669 39.0952641, -94.6649274 39.0955163, -94.66587250000001 39.0956898, -94.6664827 39.095848, -94.6610814 39.0931726, -94.66048189999999 39.0930724, -94.6560108 39.0921558, -94.65415059999999 39.0924062, -94.6385882 39.0903957, -94.6375517 39.0905231, -94.6372274 39.0905276, -94.6366483 39.0904467, -94.6359946 39.0903597, -94.63545670000001 39.0903447, -94.6343835 39.0901949, -94.63374570000001 39.0901062, -94.6301307 39.0895081, -94.6295779 39.0894506, -94.62864519999999 39.089411, -94.628151 39.089405, -94.62776340000001 39.0894182, -94.627348 39.0894697, -94.62644469999999 39.0895776, -94.62610340000001 39.089598, -94.6195173 39.0900726, -94.6213231 39.0900722, -94.6241412 39.0900503, -94.6247948 39.0900774, -94.6255235 39.0901189, -94.62592530000001 39.0901293, -94.627672 39.0901148, -94.6284194 39.0901668, -94.62944 39.0902707, -94.63287320000001 39.0908737, -94.6339863 39.0909903, -94.63524959999999 39.0911506, -94.635947 39.0912276, -94.63718350000001 39.0914046, -94.63710570000001 39.091644, -94.6376321 39.0917449, -94.6393487 39.0920306, -94.6405195 39.0922442, -94.6417945 39.0924502))"
 CPK002,2,382586757,,"POLYGON ((-94.6133863 39.0973746, -94.6134437 39.0972648, -94.61352309999999 39.0972323, -94.6135692 39.0972301, -94.6139299 39.0970823, -94.6139819 39.0971248, -94.6143821 39.0969464, -94.6154183 39.0963656, -94.61594409999999 39.0961182, -94.6160423 39.0962291, -94.6195079 39.0947319, -94.619606 39.0948808, -94.6190435 39.0951159, -94.619044 39.0951709, -94.6188535 39.0952441, -94.6182821 39.0954765, -94.6185085 39.0954635, -94.6182208 39.0955632, -94.6180488 39.0955847, -94.61784710000001 39.0956538, -94.6165433 39.0961772, -94.6158966 39.0964616, -94.61548790000001 39.0966587, -94.6152632 39.0967775, -94.6134429 39.0974598, -94.613426 39.0974344, -94.6134023 39.0973986, -94.6133863 39.0973746))"
