name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,123317408,level_crossing,,,,-94.6182307,39.0955185,POINT (-94.6182307 39.0955185)
,1,123331655,,,,,-94.6713763,39.0982029,POINT (-94.67137630000001 39.0982029)
,2,123331657,,,,,-94.671101,39.0981319,POINT (-94.67110099999999 39.0981319)
,3,123350379,,,,,-94.6351862,39.0903566,POINT (-94.63518620000001 39.0903566)
,4,123350420,,,,,-94.6168765,39.0900426,POINT (-94.6168765 39.0900426)
,5,123350423,level_crossing,,,,-94.6185993,39.0900325,POINT (-94.6185993 39.0900325)
,6,123350425,,,,,-94.6195192,39.0900234,POINT (-94.6195192 39.0900234)
,7,123350442,,,,,-94.625612,39.0901927,POINT (-94.625612 39.0901927)
,8,123355020,,,,,-94.6318641,39.0913598,POINT (-94.6318641 39.0913598)
,9,123355027,,,,,-94.6398973,39.0923902,POINT (-94.6398973 39.0923902)
,10,123355031,,,,,-94.648524,39.0935797,POINT (-94.64852399999999 39.0935797)
,11,123355440,,,,,-94.6494999,39.0937126,POINT (-94.6494999 39.0937126)
,12,123355442,switch,,,,-94.6498972,39.0937983,POINT (-94.6498972 39.0937983)
,13,123355446,,,,,-94.6507758,39.0940806,POINT (-94.65077580000001 39.0940806)
,14,123355451,,,,,-94.655891,39.0957093,POINT (-94.655891 39.0957093)
,15,123355454,,,,,-94.6568618,39.0959364,POINT (-94.6568618 39.0959364)
,16,123355456,,,,,-94.6575578,39.0961098,POINT (-94.65755780000001 39.0961098)
,17,123355459,,,,,-94.658697,39.096331,POINT (-94.658697 39.096331)
,18,123355462,,,,,-94.6645823,39.0974872,POINT (-94.66458230000001 39.0974872)
,19,123355466,,,,,-94.6650014,39.097551,POINT (-94.66500139999999 39.097551)
,20,123355472,,,,,-94.6659712,39.0976301,POINT (-94.6659712 39.0976301)
,21,123355474,,,,,-94.6698323,39.0979432,POINT (-94.6698323 39.0979432)
,22,123355476,,,,,-94.6703095,39.0979879,POINT (-94.6703095 39.0979879)
,23,123356077,,,,,-94.62289,39.0934391,POINT (-94.62289 39.0934391)
,24,123356367,,,,,-94.6597148,39.0930215,POINT (-94.6597148 39.0930215)
,25,123356369,,,,,-94.6615955,39.0935131,POINT (-94.6615955 39.0935131)
,26,123356713,,,,,-94.6714771,39.0982402,POINT (-94.6714771 39.0982402)
,27,123357553,,,,,-94.6140345,39.0970551,POINT (-94.6140345 39.0970551)
,28,123357574,,,,,-94.612905,39.0919156,POINT (-94.612905 39.0919156)
,29,123357662,,,,,-94.6372506,39.0906295,POINT (-94.6372506 39.0906295)
,30,123357664,,,,,-94.6378288,39.0905964,POINT (-94.63782879999999 39.0905964)
,31,123357667,,,,,-94.6383513,39.0905307,POINT (-94.6383513 39.0905307)
,32,123357669,,,,,-94.6388687,39.0904655,POINT (-94.6388687 39.0904655)
,33,123357672,,,,,-94.6391519,39.0904161,POINT (-94.6391519 39.0904161)
,34,123357675,,,,,-94.6397257,39.0903295,POINT (-94.6397257 39.0903295)
,35,123388316,level_crossing,,,,-94.619181,39.0951301,POINT (-94.619181 39.0951301)
,36,123419621,,,,,-94.6165085,39.0900085,POINT (-94.61650849999999 39.0900085)
,37,1141256040,,,,,-94.6394916,39.0903546,POINT (-94.6394916 39.0903546)
,38,1141256086,,,,,-94.6391676,39.09039,POINT (-94.63916759999999 39.09039)
,39,1141256101,,,,,-94.6390463,39.0904254,POINT (-94.6390463 39.0904254)
,40,1141256119,,,,,-94.6394255,39.090298,POINT (-94.6394255 39.090298)
,41,1141256174,,,,,-94.6390379,39.0904385,POINT (-94.63903790000001 39.0904385)
,42,1141256304,,,,,-94.6392978,39.0903437,POINT (-94.63929779999999 39.0903437)
,43,1157147444,,,,,-94.613426,39.0974344,POINT (-94.613426 39.0974344)
,44,1157147445,,,,,-94.615733,39.0964301,POINT (-94.61573300000001 39.0964301)
,45,1157147469,,,,,-94.6138953,39.0971539,POINT (-94.6138953 39.0971539)
,46,1157147536,,,,,-94.6147775,39.0968567,POINT (-94.6147775 39.0968567)
,47,1157147613,,,,,-94.6139085,39.0971921,POINT (-94.61390849999999 39.0971921)
,48,1157147638,,,,,-94.613486,39.0973616,POINT (-94.61348599999999 39.0973616)
,49,1157147682,,,,,-94.6144066,39.0969769,POINT (-94.6144066 39.0969769)
,50,1157147689,,,,,-94.6139433,39.0972219,POINT (-94.6139433 39.0972219)
,51,1157147710,,,,,-94.6137752,39.0972238,POINT (-94.61377520000001 39.0972238)
,52,1157147740,,,,,-94.6148027,39.096798,POINT (-94.6148027 39.096798)
,53,1157147748,,,,,-94.6134023,39.0973986,POINT (-94.6134023 39.0973986)
,54,1157147781,,,,,-94.6136852,39.0972685,POINT (-94.61368520000001 39.0972685)
,55,1157147799,,,,,-94.614596,39.096937,POINT (-94.61459600000001 39.096937)
,56,1157161840,,,,,-94.6597217,39.0949161,POINT (-94.65972170000001 39.0949161)
,57,1157161841,,,,,-94.6306323,39.0912053,POINT (-94.6306323 39.0912053)
,58,1157161843,,,,,-94.6538092,39.0941397,POINT (-94.6538092 39.0941397)
,59,1157161844,,,,,-94.6648693,39.0955632,POINT (-94.66486930000001 39.0955632)
,60,1157161846,,,,,-94.6223546,39.0936188,POINT (-94.62235459999999 39.0936188)
,61,1157161848,,,,,-94.6308835,39.0912558,POINT (-94.6308835 39.0912558)
,62,1157161851,,,,,-94.6273612,39.091623,POINT (-94.6273612 39.091623)
,63,1157161852,,,,,-94.6275169,39.0915417,POINT (-94.6275169 39.0915417)
,64,1157161855,,,,,-94.6380446,39.0920685,POINT (-94.6380446 39.0920685)
,65,1157161857,,,,,-94.6645882,39.0955584,POINT (-94.6645882 39.0955584)
,66,1157161858,,,,,-94.6289466,39.0912778,POINT (-94.62894660000001 39.0912778)
,67,1157161859,,,,,-94.6489711,39.0935082,POINT (-94.6489711 39.0935082)
,68,1157161860,,,,,-94.6660039,39.0957874,POINT (-94.66600390000001 39.0957874)
,69,1157161862,,,,,-94.6175149,39.0956246,POINT (-94.6175149 39.0956246)
,70,1157161863,,,,,-94.6562834,39.0944283,POINT (-94.65628340000001 39.0944283)
,71,1157161864,,,,,-94.6669993,39.0961189,POINT (-94.6669993 39.0961189)
,72,1157161868,,,,,-94.633509,39.0915095,POINT (-94.633509 39.0915095)
,73,1157161869,,,,,-94.6358607,39.0917798,POINT (-94.63586069999999 39.0917798)
,74,1157161872,,,,,-94.6261373,39.0919795,POINT (-94.6261373 39.0919795)
,75,1157161873,,,,,-94.6666419,39.0959642,POINT (-94.6666419 39.0959642)
,76,1157161875,,,,,-94.6606252,39.095036,POINT (-94.6606252 39.095036)
,77,1157161876,,,,,-94.6303556,39.0912006,POINT (-94.6303556 39.0912006)
,78,1157161878,,,,,-94.6664183,39.0959357,POINT (-94.6664183 39.0959357)
,79,1157161879,,,,,-94.6253823,39.0923373,POINT (-94.6253823 39.0923373)
,80,1157161880,,,,,-94.6550647,39.0943049,POINT (-94.6550647 39.0943049)
