name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,electrified,railway,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
,0,9260348,1,2,rail,no,rail,,,,,,,,,,,1435,spur,190.72368497937742,"LINESTRING (-84.4219428 33.8007961, -84.420214 33.799859)"
,1,9260348,2,288,rail,no,rail,,,,,,,,,,,1435,spur,9.108268892654133,"LINESTRING (-84.420214 33.799859, -84.4201331 33.7998122)"
,2,9260348,288,62,rail,no,rail,,,,,,,,,,,1435,spur,3.295631305298617,"LINESTRING (-84.4201331 33.7998122, -84.42010380000001 33.7997953)"
,3,9260348,62,52,rail,no,rail,,,,,,,,,,,1435,spur,12.970857791642043,"LINESTRING (-84.42010380000001 33.7997953, -84.41999269999999 33.799724)"
,4,9260348,52,3,rail,no,rail,,,,,,,,,,,1435,spur,11.40570309930879,"LINESTRING (-84.41999269999999 33.799724, -84.41990269999999 33.7996538)"
,5,9260348,3,48,rail,no,rail,,,,,,,,,,,1435,spur,10.621643112482726,"LINESTRING (-84.41990269999999 33.7996538, -84.4198258 33.7995828)"
,6,9260348,48,53,rail,no,rail,,,,,,,,,,,1435,spur,16.18941852005118,"LINESTRING (-84.4198258 33.7995828, -84.41971959999999 33.799467)"
,7,9260348,53,4,rail,no,rail,,,,,,,,,,,1435,spur,14.754499231856146,"LINESTRING (-84.41971959999999 33.799467, -84.4196359 33.799354)"
,8,9260348,4,46,rail,no,rail,,,,,,,,,,,1435,spur,22.953043574136355,"LINESTRING (-84.4196359 33.799354, -84.41952190000001 33.7991706)"
,9,9260348,46,5,rail,no,rail,,,,,,,,,,,1435,spur,35.995753237566525,"LINESTRING (-84.41952190000001 33.7991706, -84.4193661 33.7988739)"
,10,9260348,5,58,rail,no,rail,,,,,,,,,,,1435,spur,55.136590880370115,"LINESTRING (-84.4193661 33.7988739, -84.4190775 33.7984399)"
,11,9260348,58,6,rail,no,rail,,,,,,,,,,,1435,spur,20.408240062384223,"LINESTRING (-84.4190775 33.7984399, -84.41898380000001 33.7982737)"
,12,9260348,6,56,rail,no,rail,,,,,,,,,,,1435,spur,27.12697854860279,"LINESTRING (-84.41898380000001 33.7982737, -84.4188968 33.7980407)"
,13,9260348,56,7,rail,no,rail,,,,,,,,,,,1435,spur,37.68185286515042,"LINESTRING (-84.4188968 33.7980407, -84.4188072 33.7977101)"
,14,9260348,7,8,rail,no,rail,,,,,,,,,,,1435,spur,37.52779961279288,"LINESTRING (-84.4188072 33.7977101, -84.41876310000001 33.7973746)"
,15,9260348,8,43,rail,no,rail,,,,,,,,,,,1435,spur,18.240751742591797,"LINESTRING (-84.41876310000001 33.7973746, -84.41873440000001 33.7972123)"
,16,9260348,43,9,rail,no,rail,,,,,,,,,,,1435,spur,20.15628790992331,"LINESTRING (-84.41873440000001 33.7972123, -84.4186971 33.7970337)"
,17,9260348,9,10,rail,no,rail,,,,,,,,,,,1435,spur,17.09648698508559,"LINESTRING (-84.4186971 33.7970337, -84.4186366 33.7968884)"
,18,9260348,10,76,rail,no,rail,,,,,,,,,,,1435,spur,20.40808129500106,"LINESTRING (-84.4186366 33.7968884, -84.4185319 33.7967268)"
,19,9260348,76,79,rail,no,rail,,,,,,,,,,,1435,spur,40.39207269568209,"LINESTRING (-84.4185319 33.7967268, -84.4182971 33.7964204)"
,20,9260348,79,80,rail,no,rail,,,,,,,,,,,1435,spur,16.387337714249878,"LINESTRING (-84.4182971 33.7964204, -84.4182007 33.7962967)"
,21,9260348,80,78,rail,no,rail,,,,,,,,,,,1435,spur,18.164068578376448,"LINESTRING (-84.4182007 33.7962967, -84.41810289999999 33.796155)"
,22,9260348,78,77,rail,no,rail,,,,,,,,,,,1435,spur,17.728922258185367,"LINESTRING (-84.41810289999999 33.796155, -84.4180166 33.7960126)"
,23,9260348,77,83,rail,no,rail,,,,,,,,,,,1435,spur,23.323179553096317,"LINESTRING (-84.4180166 33.7960126, -84.41791720000001 33.7958198)"
,24,9260348,83,11,rail,no,rail,,,,,,,,,,,1435,spur,23.71870506623954,"LINESTRING (-84.41791720000001 33.7958198, -84.4178162 33.7956237)"
,25,9260348,11,71,rail,no,rail,,,,,,,,,,,1435,spur,31.677640649012183,"LINESTRING (-84.4178162 33.7956237, -84.4176856 33.7953603)"
,26,9260348,71,70,rail,no,rail,,,,,,,,,,,1435,spur,15.158643275994521,"LINESTRING (-84.4176856 33.7953603, -84.41761049999999 33.7952391)"
,27,9260348,70,12,rail,no,rail,,,,,,,,,,,1435,spur,8.167801950289157,"LINESTRING (-84.41761049999999 33.7952391, -84.4175618 33.7951778)"
,28,9260348,12,64,rail,no,rail,,,,,,,,,,,1435,spur,11.274821743593037,"LINESTRING (-84.4175618 33.7951778, -84.4174897 33.795096)"
,29,9260348,64,13,rail,no,rail,,,,,,,,,,,1435,spur,11.413813446444184,"LINESTRING (-84.4174897 33.795096, -84.4174041 33.795022)"
,30,9260348,13,50,rail,no,rail,,,,,,,,,,,1435,spur,7.519119179371992,"LINESTRING (-84.4174041 33.795022, -84.4173416 33.7949787)"
,31,9260348,50,51,rail,no,rail,,,,,,,,,,,1435,spur,6.307238476643219,"LINESTRING (-84.4173416 33.7949787, -84.4172877 33.7949439)"
,32,9260348,51,74,rail,no,rail,,,,,,,,,,,1435,spur,11.064204085883306,"LINESTRING (-84.4172877 33.7949439, -84.4171869 33.7948902)"
,33,9260348,74,14,rail,no,rail,,,,,,,,,,,1435,spur,20.67609588787817,"LINESTRING (-84.4171869 33.7948902, -84.4169828 33.794814)"
,34,9260348,14,15,rail,no,rail,,,,,,,,,,,1435,spur,4.568915547272172,"LINESTRING (-84.4169828 33.794814, -84.4169357 33.7948015)"
,35,9260348,15,16,rail,no,rail,,,,,,,,,,,1435,spur,10.007602960546569,"LINESTRING (-84.4169357 33.7948015, -84.41683 33.7947819)"
,36,9260348,16,17,rail,no,rail,,,,,,,,,,,1435,spur,8.718749293293076,"LINESTRING (-84.41683 33.7947819, -84.4167363 33.7947727)"
,37,9260348,17,18,rail,no,rail,,,,,,,,,,,1435,spur,10.079078004646929,"LINESTRING (-84.4167363 33.7947727, -84.4166274 33.7947676)"
,38,9260348,18,19,rail,no,rail,,,,,,,,,,,1435,spur,13.550109660816132,"LINESTRING (-84.4166274 33.7947676, -84.416481 33.7947745)"
,39,9260348,19,120,rail,no,rail,,,,,,,,,,,1435,spur,24.761629190182067,"LINESTRING (-84.416481 33.7947745, -84.4162178 33.7948163)"
,40,9260348,120,82,rail,no,rail,,,,,,,,,,,1435,spur,35.627313520624526,"LINESTRING (-84.4162178 33.7948163, -84.415846 33.7949011)"
,41,9260353,172,164,rail,no,rail,,,,,,,,,,,1435,spur,56.11457145153362,"LINESTRING (-84.42137649999999 33.7977861, -84.42098559999999 33.7973999)"
,42,9260353,164,20,rail,no,rail,,,,,,,,,,,1435,spur,57.30170908475541,"LINESTRING (-84.42098559999999 33.7973999, -84.4206178 33.796985)"
,43,9260358,14,57,rail,no,rail,,,,,,,,,,,1435,spur,24.450644259020226,"LINESTRING (-84.4169828 33.794814, -84.4172301 33.7948922)"
,44,9260358,57,75,rail,no,rail,,,,,,,,,,,1435,spur,12.65037913891323,"LINESTRING (-84.4172301 33.7948922, -84.41735180000001 33.7949443)"
,45,9260358,75,21,rail,no,rail,,,,,,,,,,,1435,spur,16.6842593782656,"LINESTRING (-84.41735180000001 33.7949443, -84.41750469999999 33.7950241)"
,46,9260358,21,22,rail,no,rail,,,,,,,,,,,1435,spur,24.980607466692874,"LINESTRING (-84.41750469999999 33.7950241, -84.4176892 33.7951883)"
,47,9260358,22,23,rail,no,rail,,,,,,,,,,,1435,spur,84.2532968590695,"LINESTRING (-84.4176892 33.7951883, -84.4181394 33.7958472)"
,48,9260358,23,84,rail,no,rail,,,,,,,,,,,1435,spur,51.707927355566696,"LINESTRING (-84.4181394 33.7958472, -84.4184585 33.7962292)"
,49,9260358,84,91,rail,no,rail,,,,,,,,,,,1435,spur,147.94636183070983,"LINESTRING (-84.4184585 33.7962292, -84.4193578 33.79733)"
,50,9260358,91,94,rail,no,rail,,,,,,,,,,,1435,spur,75.17128974173474,"LINESTRING (-84.4193578 33.79733, -84.41982160000001 33.7978854)"
,51,9260358,94,24,rail,no,rail,,,,,,,,,,,1435,spur,70.94806985480307,"LINESTRING (-84.41982160000001 33.7978854, -84.4202757 33.7983999)"
,52,9260358,24,25,rail,no,rail,,,,,,,,,,,1435,spur,90.24066186470486,"LINESTRING (-84.4202757 33.7983999, -84.42084180000001 33.7990612)"
