name,poi_id,osm_way_id,railway,geometry
 BNSF LA Intermodal Terminal,0,48232958,,"POLYGON ((-118.1823814 34.0072291, -118.1819254 34.0062411, -118.1816265 34.0057182, -118.1966858 34.010799, -118.1969279 34.0108323, -118.1974426 34.0108546, -118.1981821 34.0108159, -118.1997872 34.0106234, -118.2003475 34.0105812, -118.2010367 34.0105869, -118.2016028 34.0106486, -118.2028876 34.0110542, -118.2030136 34.0110661, -118.2040779 34.0113939, -118.2043732 34.0115518, -118.204562 34.0117299, -118.2047194 34.0119073, -118.2047601 34.0120679, -118.2047707 34.0122281, -118.204716 34.0125502, -118.2046219 34.0127606, -118.204492 34.0129628, -118.2043302 34.0131388, -118.2040507 34.0133066, -118.2029002 34.0132393, -118.2028721 34.0131899, -118.2006685 34.0129082, -118.1986659 34.0127109, -118.1966583 34.0125376, -118.1962714 34.0124623, -118.191385 34.0108682, -118.1920068 34.0096419, -118.1918135 34.0094846, -118.1912231 34.0093127, -118.1910017 34.0091175, -118.1908752 34.009068, -118.1908084 34.0090942, -118.190724 34.0092166, -118.1906749 34.0093127, -118.1908342 34.0093645, -118.1905798 34.0098778, -118.1823814 34.0072291))"
 UPRR East LA Intermodal Facility,1,48232963,,"POLYGON ((-118.1831901 34.0083717, -118.1965181 34.0127958, -118.1937308 34.0125235, -118.1915986 34.01209, -118.1914889 34.0121051, -118.1890092 34.0116079, -118.1882119 34.0113472, -118.1878389 34.0111956, -118.1840937 34.0090947, -118.1834298 34.0088523, -118.1834777 34.0087182, -118.1831901 34.0083717))"
,2,210525754,platform,"POLYGON ((-118.1449692 33.9911735, -118.144988 33.9911423, -118.1444375 33.9909546, -118.1438654 33.9907596, -118.1433674 33.9905898, -118.1428555 33.9904152, -118.1428369 33.9904507, -118.1449692 33.9911735))"
