name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,36760184,level_crossing,,,,-118.2007195,34.0101738,POINT (-118.2007195 34.0101738)
,1,36760186,,,,,-118.185961,34.0051109,POINT (-118.185961 34.0051109)
,2,36760191,,,,,-118.1456678,33.9915248,POINT (-118.1456678 33.9915248)
,3,36781648,switch,,,,-118.2076926,34.0153288,POINT (-118.2076926 34.0153288)
,4,36796365,,,,,-118.2059215,34.0138477,POINT (-118.2059215 34.0138477)
,5,36796366,,,,,-118.2053644,34.0130437,POINT (-118.2053644 34.0130437)
,6,36796370,,,,,-118.2047973,34.0110619,POINT (-118.2047973 34.0110619)
,7,36796371,level_crossing,,,,-118.2047381,34.0085391,POINT (-118.2047381 34.0085391)
,8,74399847,,,,,-118.2048639,34.0126054,POINT (-118.2048639 34.0126054)
,9,74399859,,,,,-118.2046006,34.0130799,POINT (-118.2046006 34.0130799)
,10,74399871,,,,,-118.2045318,34.0131555,POINT (-118.2045318 34.0131555)
,11,74399888,,,,,-118.2043577,34.0133147,POINT (-118.2043577 34.0133147)
,12,74399906,,,,,-118.2038584,34.0135958,POINT (-118.2038584 34.0135958)
,13,74399924,,,,,-118.2035635,34.0136903,POINT (-118.2035635 34.0136903)
,14,122620920,level_crossing,,,,-118.2048222,34.011281,POINT (-118.2048222 34.011281)
,15,122620921,level_crossing,,,,-118.2036478,34.0108773,POINT (-118.2036478 34.0108773)
,16,123296157,,,,,-118.1339713,33.987781,POINT (-118.1339713 33.987781)
,17,123296579,switch,,,,-118.1475464,33.9843947,POINT (-118.1475464 33.9843947)
,18,123296581,,,,,-118.1456345,33.9852539,POINT (-118.1456345 33.9852539)
,19,123296583,level_crossing,,,,-118.1407489,33.9835901,POINT (-118.1407489 33.9835901)
,20,123296585,,,,,-118.1375585,33.9821875,POINT (-118.1375585 33.9821875)
,21,123296588,,,,,-118.1361807,33.9842273,POINT (-118.1361807 33.9842273)
,22,123296637,,,,,-118.1529762,33.9815674,POINT (-118.1529762 33.9815674)
,23,123297420,,,,,-118.2043702,34.0050741,POINT (-118.2043702 34.0050741)
,24,123297425,,,,,-118.202195,34.0052069,POINT (-118.202195 34.0052069)
,25,123297428,,,,,-118.1916961,33.9993608,POINT (-118.1916961 33.9993608)
,26,123297487,switch,,,,-118.1812276,33.9952103,POINT (-118.1812276 33.9952103)
,27,123297488,switch,,,,-118.177467,33.9929954,POINT (-118.177467 33.9929954)
,28,123297489,,,,,-118.1761548,33.9921812,POINT (-118.1761548 33.9921812)
,29,123297490,,,,,-118.1717495,33.9896414,POINT (-118.1717495 33.9896414)
,30,123297503,,,,,-118.1480125,33.983624,POINT (-118.1480125 33.983624)
,31,123297506,switch,,,,-118.1473317,33.9848269,POINT (-118.1473317 33.9848269)
,32,123297510,switch,,,,-118.1488228,33.9876506,POINT (-118.1488228 33.9876506)
