name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,electrified,railway,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
,0,5325461,1,111,rail,,rail,,,,,,,,,,,,,32.18458625985366,"LINESTRING (-88.2265798 40.1443563, -88.2264962 40.1446386)"
,1,5325461,111,110,rail,,rail,,,,,,,,,,,,,14.951184838533491,"LINESTRING (-88.2264962 40.1446386, -88.2264595 40.1447701)"
,2,5325461,110,2,rail,,rail,,,,,,,,,,,,,36.93711261850708,"LINESTRING (-88.2264595 40.1447701, -88.22636900000001 40.145095)"
,3,5325461,2,3,rail,,rail,,,,,,,,,,,,,18.128719946249873,"LINESTRING (-88.22636900000001 40.145095, -88.22634499999999 40.145257)"
,4,5325461,3,4,rail,,rail,,,,,,,,,,,,,18.12975502444578,"LINESTRING (-88.22634499999999 40.145257, -88.22633999999999 40.14542)"
,5,5325461,4,5,rail,,rail,,,,,,,,,,,,,18.163794949845617,"LINESTRING (-88.22633999999999 40.14542, -88.226354 40.145583)"
,6,5325461,5,6,rail,,rail,,,,,,,,,,,,,41.536841780356646,"LINESTRING (-88.226354 40.145583, -88.226411 40.145954)"
,7,5325461,6,7,rail,,rail,,,,,,,,,,,,,110.48747126109835,"LINESTRING (-88.226411 40.145954, -88.226561 40.146941)"
,8,5325461,7,8,rail,,rail,,,,,,,,,,,,,27.739672916523315,"LINESTRING (-88.226561 40.146941, -88.226581 40.14719)"
,9,5325461,8,9,rail,,rail,,,,,,,,,,,,,25.574974366691528,"LINESTRING (-88.226581 40.14719, -88.22658199999999 40.14742)"
,10,5325461,9,10,rail,,rail,,,,,,,,,,,,,23.385713934424032,"LINESTRING (-88.22658199999999 40.14742, -88.226567 40.14763)"
,11,5325461,10,11,rail,,rail,,,,,,,,,,,,,27.785129933986287,"LINESTRING (-88.226567 40.14763, -88.226527 40.147878)"
,12,5325461,11,12,rail,,rail,,,,,,,,,,,,,25.749547326851793,"LINESTRING (-88.226527 40.147878, -88.226474 40.148106)"
,13,5325461,12,13,rail,,rail,,,,,,,,,,,,,25.844469178792714,"LINESTRING (-88.226474 40.148106, -88.226403 40.148332)"
,14,5325461,13,14,rail,,rail,,,,,,,,,,,,,71.23161046621397,"LINESTRING (-88.226403 40.148332, -88.226164 40.148946)"
,15,5325461,14,15,rail,,rail,,,,,,,,,,,,,20.52657570252621,"LINESTRING (-88.226164 40.148946, -88.2261 40.149124)"
,16,5325461,15,16,rail,,rail,,,,,,,,,,,,,12.313190696150459,"LINESTRING (-88.2261 40.149124, -88.226068 40.149232)"
,17,5325461,16,17,rail,,rail,,,,,,,,,,,,,6.138380868689981,"LINESTRING (-88.226068 40.149232, -88.22605299999999 40.149286)"
,18,5325461,17,18,rail,,rail,,,,,,,,,,,,,22.40240131199726,"LINESTRING (-88.22605299999999 40.149286, -88.22599200000001 40.149482)"
