name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,118389147,level_crossing,,,,-92.2165722,34.7736185,POINT (-92.2165722 34.7736185)
,1,118389214,level_crossing,,,,-92.228429,34.770817,POINT (-92.22842900000001 34.770817)
,2,118389217,level_crossing,,,,-92.228437,34.770856,POINT (-92.228437 34.770856)
,3,118389267,level_crossing,,,,-92.228583,34.771009,POINT (-92.228583 34.771009)
,4,118389287,level_crossing,,,,-92.230073,34.770864,POINT (-92.230073 34.770864)
,5,118418561,level_crossing,,,,-92.221362,34.77581,POINT (-92.221362 34.77581)
,6,118418564,level_crossing,,,,-92.22136,34.775843,POINT (-92.22136 34.775843)
,7,118418567,level_crossing,,,,-92.221358,34.775888,POINT (-92.221358 34.775888)
,8,118418570,level_crossing,,,,-92.221354,34.775929,POINT (-92.22135400000001 34.775929)
,9,118418573,level_crossing,,,,-92.221352,34.775947,POINT (-92.221352 34.775947)
,10,118418576,level_crossing,,,,-92.221347,34.775981,POINT (-92.22134699999999 34.775981)
,11,118418579,level_crossing,,,,-92.221342,34.776026,POINT (-92.22134200000001 34.776026)
,12,118418582,level_crossing,,,,-92.221336,34.776073,POINT (-92.22133599999999 34.776073)
,13,118418585,level_crossing,,,,-92.221331,34.776119,POINT (-92.22133100000001 34.776119)
,14,118418587,level_crossing,,,,-92.221326,34.776161,POINT (-92.221326 34.776161)
,15,118436033,level_crossing,,,,-92.219855,34.776054,POINT (-92.219855 34.776054)
,16,118436036,level_crossing,,,,-92.219859,34.776036,POINT (-92.219859 34.776036)
,17,118436040,level_crossing,,,,-92.219858,34.775962,POINT (-92.219858 34.775962)
,18,118436044,level_crossing,,,,-92.219858,34.775943,POINT (-92.219858 34.775943)
,19,118436087,level_crossing,,,,-92.223393,34.775738,POINT (-92.223393 34.775738)
,20,118436162,level_crossing,,,,-92.232454,34.772465,POINT (-92.232454 34.772465)
,21,118436198,level_crossing,,,,-92.237013,34.769617,POINT (-92.237013 34.769617)
,22,118436255,level_crossing,,,,-92.252276,34.764258,POINT (-92.25227599999999 34.764258)
,23,118436270,level_crossing,,,,-92.257915,34.764348,POINT (-92.257915 34.764348)
,24,118436273,level_crossing,,,,-92.258041,34.764397,POINT (-92.25804100000001 34.764397)
,25,118436274,level_crossing,,,,-92.258124,34.764429,POINT (-92.258124 34.764429)
