name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,electrified,railway,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
,0,10868425,0,126,rail,no,rail,,,,,,,,,,,1435,yard,103.51102266848501,"LINESTRING (-81.60312279999999 30.2430271, -81.60266970000001 30.2421825)"
,1,10868425,126,1,rail,no,rail,,,,,,,,,,,1435,yard,106.85259541278482,"LINESTRING (-81.60266970000001 30.2421825, -81.6023277 30.2412681)"
,2,10868425,1,121,rail,no,rail,,,,,,,,,,,1435,yard,138.00341873546918,"LINESTRING (-81.6023277 30.2412681, -81.60182090000001 30.2401068)"
,3,10868425,121,120,rail,no,rail,,,,,,,,,,,1435,yard,14.987482157661239,"LINESTRING (-81.60182090000001 30.2401068, -81.6017658 30.2399807)"
,4,10868425,120,370,rail,no,rail,,,,,,,,,,,1435,yard,18.570442936505597,"LINESTRING (-81.6017658 30.2399807, -81.6016891 30.2398274)"
,5,10868425,370,2,rail,no,rail,,,,,,,,,,,1435,yard,24.272914578478673,"LINESTRING (-81.6016891 30.2398274, -81.6015781 30.2396313)"
,6,10878597,10,11,rail,no,rail,,,,,,,,,,,1435,yard,186.52852702313928,"LINESTRING (-81.59863989999999 30.2407539, -81.6005298 30.2411389)"
,7,10878597,11,84,rail,no,rail,,,,,,,,,,,1435,yard,74.8129212221214,"LINESTRING (-81.6005298 30.2411389, -81.6012607 30.2413712)"
,8,10878597,84,12,rail,no,rail,,,,,,,,,,,1435,yard,38.77384803318246,"LINESTRING (-81.6012607 30.2413712, -81.6016362 30.2414991)"
,9,10878597,12,288,rail,no,rail,,,,,,,,,,,1435,yard,22.760706324484566,"LINESTRING (-81.6016362 30.2414991, -81.60183259999999 30.2416136)"
,10,10878597,288,13,rail,no,rail,,,,,,,,,,,1435,yard,22.117448344737454,"LINESTRING (-81.60183259999999 30.2416136, -81.60201929999999 30.24173)"
,11,10878597,13,6,rail,no,rail,,,,,,,,,,,1435,yard,15.258640711601124,"LINESTRING (-81.60201929999999 30.24173, -81.60213280000001 30.241826)"
,12,10878598,7,14,rail,no,rail,,,,,,,,,,,1435,yard,109.87317291849213,"LINESTRING (-81.5988675 30.2363013, -81.5993472 30.2371983)"
,13,10878598,14,204,rail,no,rail,,,,,,,,,,,1435,yard,59.88503089301309,"LINESTRING (-81.5993472 30.2371983, -81.59958760000001 30.2376952)"
,14,10878598,204,205,rail,no,rail,,,,,,,,,,,1435,yard,36.3126981739415,"LINESTRING (-81.59958760000001 30.2376952, -81.599732 30.237997)"
,15,10878598,205,207,rail,no,rail,,,,,,,,,,,1435,yard,42.4697951807348,"LINESTRING (-81.599732 30.237997, -81.5998994 30.2383505)"
,16,10878598,207,208,rail,no,rail,,,,,,,,,,,1435,yard,37.42637755377256,"LINESTRING (-81.5998994 30.2383505, -81.6000495 30.2386611)"
,17,10878598,208,15,rail,no,rail,,,,,,,,,,,1435,yard,24.049184151601548,"LINESTRING (-81.6000495 30.2386611, -81.60016109999999 30.2388547)"
,18,10878598,15,366,rail,no,rail,,,,,,,,,,,1435,yard,12.410369187354066,"LINESTRING (-81.60016109999999 30.2388547, -81.6002266 30.2389509)"
,19,10878598,366,152,rail,no,rail,,,,,,,,,,,1435,yard,35.45231518093619,"LINESTRING (-81.6002266 30.2389509, -81.60041529999999 30.2392249)"
,20,10878598,152,154,rail,no,rail,,,,,,,,,,,1435,yard,43.63765104703551,"LINESTRING (-81.60041529999999 30.2392249, -81.6006538 30.2395589)"
