name,poi_id,osm_way_id,railway,geometry
 CP40,0,380529432,,"POLYGON ((-94.6486812 39.0740015, -94.6488027 39.0737031, -94.65018550000001 39.0740753, -94.6508769 39.0742828, -94.6517429 39.0744525, -94.652019 39.0745143, -94.6519152 39.0748024, -94.6511376 39.0745709, -94.6499116 39.074245, -94.6488535 39.0739758, -94.6488071 39.074041, -94.6486812 39.0740015))"
 BNSF Argentine Locomotive Facility,1,380702893,,"POLYGON ((-94.6589994 39.077322, -94.6559156 39.0765332, -94.65292890000001 39.0757855, -94.6520763 39.0755694, -94.65165210000001 39.0754562, -94.65127219999999 39.0753259, -94.6504592 39.0749246, -94.6487759 39.0743107, -94.6485064 39.0742112, -94.6484313 39.0742729, -94.649125 39.0746399, -94.64959330000001 39.0749212, -94.64987600000001 39.0751373, -94.6509585 39.075981, -94.65186420000001 39.0769379, -94.65250039999999 39.0777439, -94.65329560000001 39.0787968, -94.6534635 39.0788483, -94.6537507 39.0788997, -94.6539009 39.0788894, -94.65443550000001 39.0788002, -94.6549392 39.0787179, -94.6553589 39.0786836, -94.65643559999999 39.0786822, -94.65894950000001 39.0786685, -94.65964889999999 39.078639, -94.6607939 39.0786037, -94.6611134 39.0786062, -94.6613959 39.0786523, -94.66268410000001 39.0789511, -94.66288729999999 39.0785293, -94.6606915 39.0779394, -94.6600023 39.077737, -94.6592689 39.0774249, -94.6589994 39.077322))"
 BNSF Argentine Yard,2,380910727,,"POLYGON ((-94.7078521 39.0871692, -94.7078609 39.087212, -94.7076205 39.0872518, -94.7071433 39.0873101, -94.7067709 39.0873422, -94.70626660000001 39.0873587, -94.70535219999999 39.0873546, -94.7053439 39.0873901, -94.7050479 39.0873899, -94.7047997 39.087406, -94.70486080000001 39.0876099, -94.704275 39.0876641, -94.70394279999999 39.08774, -94.7036497 39.0878512, -94.6774657 39.0870019, -94.6770228 39.0867137, -94.6762542 39.0863294, -94.6677997 39.0810157, -94.66766939999999 39.0806516, -94.6674675 39.0803028, -94.6672135 39.0800803, -94.6667836 39.0799236, -94.6627453 39.0789679, -94.66294069999999 39.0785179, -94.6614556 39.0781084, -94.6600748 39.077719, -94.65929319999999 39.0773954, -94.6589675 39.0772741, -94.6520635 39.0755523, -94.65166499999999 39.0754461, -94.6512761 39.0753138, -94.6504815 39.0749224, -94.64852500000001 39.0741956, -94.64841939999999 39.0742664, -94.6470582 39.0736626, -94.6465589 39.0734986, -94.6447824 39.0730531, -94.65088 39.0742608, -94.67227130000001 39.0795803, -94.6750433 39.080314, -94.67565620000001 39.0804705, -94.6762691 39.0805534, -94.67708759999999 39.0805964, -94.6778113 39.0806209, -94.6782858 39.0805411, -94.6783135 39.0804521, -94.67973310000001 39.0805595, -94.686657 39.0810169, -94.69018819999999 39.0819101, -94.6907418 39.0820851, -94.69122419999999 39.0822631, -94.69172639999999 39.0824872, -94.6922959 39.082788, -94.6950757 39.0845099, -94.6961671 39.0851545, -94.697563 39.0857929, -94.6985911 39.0861029, -94.69927920000001 39.0862687, -94.7001016 39.0863976, -94.7012642 39.0864713, -94.7037989 39.0866861, -94.7048508 39.0867843, -94.7060054 39.0868457, -94.7066111 39.0868522, -94.70661990000001 39.0871015, -94.707093 39.087069, -94.70845730000001 39.0868933, -94.708505 39.0870714, -94.7078521 39.0871692))"
