name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,electrified,railway,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
Capital Subdivision,0,6057131,24,23,rail,,rail,,,,,,,,,main,,1435,,18.17091477023568,"LINESTRING (-76.9951729 38.9139047, -76.9953634 38.9139735)"
Capital Subdivision,1,6057131,23,22,rail,,rail,,,,,,,,,main,,1435,,25.7696187053916,"LINESTRING (-76.9953634 38.9139735, -76.9956238 38.914086)"
Capital Subdivision,2,6057131,22,21,rail,,rail,,,,,,,,,main,,1435,,28.868496705724116,"LINESTRING (-76.9956238 38.914086, -76.99590329999999 38.9142278)"
Capital Subdivision,3,6057131,21,20,rail,,rail,,,,,,,,,main,,1435,,29.266653731033216,"LINESTRING (-76.99590329999999 38.9142278, -76.9961696 38.9143901)"
Capital Subdivision,4,6057131,20,19,rail,,rail,,,,,,,,,main,,1435,,30.770976360768724,"LINESTRING (-76.9961696 38.9143901, -76.9964307 38.914578)"
Capital Subdivision,5,6057131,19,18,rail,,rail,,,,,,,,,main,,1435,,38.00626323972199,"LINESTRING (-76.9964307 38.914578, -76.9967206 38.9148348)"
Capital Subdivision,6,6057131,18,17,rail,,rail,,,,,,,,,main,,1435,,33.86820594447002,"LINESTRING (-76.9967206 38.9148348, -76.9969523 38.9150803)"
Capital Subdivision,7,6057131,17,226,rail,,rail,,,,,,,,,main,,1435,,29.305627923975916,"LINESTRING (-76.9969523 38.9150803, -76.99712220000001 38.9153083)"
Capital Subdivision,8,6057131,226,16,rail,,rail,,,,,,,,,main,,1435,,27.080010565482752,"LINESTRING (-76.99712220000001 38.9153083, -76.9972559 38.9155285)"
Capital Subdivision,9,6057131,16,149,rail,,rail,,,,,,,,,main,,1435,,31.222251877014724,"LINESTRING (-76.9972559 38.9155285, -76.99738929999999 38.9157894)"
Capital Subdivision,10,6057131,149,15,rail,,rail,,,,,,,,,main,,1435,,29.114218713760675,"LINESTRING (-76.99738929999999 38.9157894, -76.99748200000001 38.9160411)"
Capital Subdivision,11,6057131,15,148,rail,,rail,,,,,,,,,main,,1435,,23.418401470814867,"LINESTRING (-76.99748200000001 38.9160411, -76.9975395 38.9162469)"
Capital Subdivision,12,6057131,148,147,rail,,rail,,,,,,,,,main,,1435,,28.034391846207004,"LINESTRING (-76.9975395 38.9162469, -76.9975824 38.9164968)"
Capital Subdivision,13,6057131,147,14,rail,,rail,,,,,,,,,main,,1435,,25.875423115058357,"LINESTRING (-76.9975824 38.9164968, -76.99760000000001 38.9167291)"
