name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,56655387,,,,,-86.785526,33.599505,POINT (-86.785526 33.599505)
,1,56655391,,,,,-86.785683,33.598609,POINT (-86.78568300000001 33.598609)
,2,56655396,,,,,-86.785972,33.596839,POINT (-86.785972 33.596839)
,3,56655400,,,,,-86.786129,33.59649,POINT (-86.786129 33.59649)
,4,56655408,,,,,-86.788401,33.592613,POINT (-86.78840099999999 33.592613)
,5,56655417,,,,,-86.790603,33.589796,POINT (-86.790603 33.589796)
,6,56655419,,,,,-86.790783,33.58947,POINT (-86.790783 33.58947)
,7,56655423,,,,,-86.790878,33.589216,POINT (-86.79087800000001 33.589216)
,8,56655426,,,,,-86.790906,33.588847,POINT (-86.79090600000001 33.588847)
,9,56655430,,,,,-86.790717,33.588272,POINT (-86.790717 33.588272)
,10,56655432,,,,,-86.790157,33.586879,POINT (-86.79015699999999 33.586879)
,11,56656905,,,,,-86.7912204,33.5869539,POINT (-86.7912204 33.5869539)
,12,56656907,,,,,-86.7915827,33.5874381,POINT (-86.79158270000001 33.5874381)
,13,56656910,,,,,-86.7919401,33.5880485,POINT (-86.79194010000001 33.5880485)
,14,56656915,,,,,-86.792246,33.588791,POINT (-86.79224600000001 33.588791)
,15,56656917,,,,,-86.792355,33.589294,POINT (-86.792355 33.589294)
,16,56656925,,,,,-86.792376,33.58995,POINT (-86.792376 33.58995)
,17,56656927,,,,,-86.7923279,33.5903845,POINT (-86.7923279 33.5903845)
,18,56656930,,,,,-86.7922077,33.5908568,POINT (-86.79220770000001 33.5908568)
,19,56656933,,,,,-86.7919392,33.5914518,POINT (-86.7919392 33.5914518)
,20,56656936,,,,,-86.7914329,33.5923566,POINT (-86.7914329 33.5923566)
,21,56656963,,,,,-86.787343,33.598823,POINT (-86.78734300000001 33.598823)
,22,371310962,,,,,-86.787628,33.598549,POINT (-86.787628 33.598549)
,23,371342222,,,,,-86.790854,33.588605,POINT (-86.790854 33.588605)
,24,371342232,,,,,-86.790256,33.590228,POINT (-86.790256 33.590228)
,25,371342234,,,,,-86.789706,33.590942,POINT (-86.789706 33.590942)
,26,371342238,,,,,-86.788008,33.593149,POINT (-86.788008 33.593149)
,27,371342240,,,,,-86.787448,33.594117,POINT (-86.787448 33.594117)
,28,371342242,,,,,-86.786736,33.595407,POINT (-86.786736 33.595407)
,29,371342248,,,,,-86.785887,33.5972,POINT (-86.785887 33.5972)
,30,371342252,,,,,-86.785607,33.599129,POINT (-86.785607 33.599129)
,31,4765082147,,,,,-86.7909604,33.5864969,POINT (-86.7909604 33.5864969)
,32,4765082148,,,,,-86.7914619,33.587141,POINT (-86.7914619 33.587141)
,33,4765082149,,,,,-86.7916679,33.58746,POINT (-86.79166789999999 33.58746)
,34,4765082150,,,,,-86.791863,33.5877896,POINT (-86.79186300000001 33.5877896)
,35,4765082151,,,,,-86.7920053,33.5880676,POINT (-86.7920053 33.5880676)
,36,4765082152,,,,,-86.7921657,33.5884079,POINT (-86.7921657 33.5884079)
,37,4765082153,,,,,-86.7922843,33.5887603,POINT (-86.79228430000001 33.5887603)
,38,4765082154,,,,,-86.7923572,33.5890352,POINT (-86.7923572 33.5890352)
,39,4765082155,,,,,-86.7924028,33.5893512,POINT (-86.7924028 33.5893512)
,40,4765082156,,,,,-86.7924265,33.5897613,POINT (-86.7924265 33.5897613)
,41,4765082157,,,,,-86.7924028,33.5901806,POINT (-86.7924028 33.5901806)
,42,4765082158,,,,,-86.7923317,33.5905968,POINT (-86.79233170000001 33.5905968)
,43,4765082159,,,,,-86.7921803,33.5910221,POINT (-86.7921803 33.5910221)
,44,4765082160,,,,,-86.7920087,33.5914029,POINT (-86.7920087 33.5914029)
,45,4765082161,,,,,-86.7917552,33.5918627,POINT (-86.7917552 33.5918627)
,46,4765082162,,,,,-86.791243,33.5927858,POINT (-86.79124299999999 33.5927858)
,47,4765082163,,,,,-86.790716,33.5937139,POINT (-86.790716 33.5937139)
,48,4765082164,,,,,-86.7899702,33.595061,POINT (-86.7899702 33.595061)
,49,4765082165,,,,,-86.7894941,33.5959109,POINT (-86.7894941 33.5959109)
,50,4765082166,,,,,-86.7887042,33.5973151,POINT (-86.7887042 33.5973151)
,51,4782193775,,,,,-86.7898088,33.5908086,POINT (-86.7898088 33.5908086)
